Birth_weight,Wean_weight,Yearling_weight,Year
81,660,902,2005
63,455,690,2005
72,416,866,2005
71,434,730,2005
81,534,812,2005
86,520,788,2005
76,575,852,2005
82,625,946,2005
74,630,1040,2005
94,510,780,2005
88,470,668,2005
88,604,916,2005
79,456,622,2005
94,462,714,2005
82,682,925,2005
64,424,698,2005
70,520,776,2005
70,428,654,2005
70,450,680,2005
80,483,756,2005
66,512,814,2005
52,570,740,2005
80,648,872,2005
78,485,790,2005
70,534,764,2005
82,450,710,2005
79,416,698,2005
86,514,816,2005
82,412,700,2005
70,434,672,2005
86,520,738,2005
58,444,800,2005
87,514,868,2005
81,498,800,2005
82,596,986,2005
82,488,800,2005
67,472,722,2005
62,469,714,2005
72,658,910,2005
79,638,948,2005
80,592,894,2005
91,610,970,2005
82,640,886,2005
78,554,854,2005
74,528,808,2005
81,572,826,2005
82,570,870,2005
97,536,792,2005
84,562,882,2005
52,441,664,2005
72,656,838,2005
78,566,890,2005
86,548,868,2005
66,656,922,2005
54,493,788,2005
78,474,686,2005
76,431,682,2005
75,620,948,2005
77,660,970,2005
78,450,834,2005
91,630,976,2005
81,638,924,2005
68,546,840,2005
75,570,740,2005
86,592,730,2005
72,564,992,2005
112,602,878,2005
84,518,864,2005
58,402,806,2005
64,542,870,2005
85,495,780,2005
71,504,704,2005
78,590,880,2005
82,475,724,2005
82,493,684,2005
74,512,698,2005
72,490,696,2005
68,477,698,2005
42,398,646,2005
81,598,906,2005
76,596,922,2005
72,530,818,2005
72,584,794,2005
74,524,864,2005
68,516,800,2005
56,458,702,2005
82,594,896,2005
70,516,866,2005
88,532,846,2005
95,434,874,2005
76,474,788,2005
74,526,782,2005
88,522,784,2005
58,552,788,2005
68,572,818,2005
61,530,824,2005
74,532,866,2005
79,602,932,2005
88,614,952,2005
84,425,712,2005
61,514,746,2005
90,522,1010,2005
78,582,900,2005
78,564,764,2005
54,520,802,2005
85,518,946,2005
92,546,842,2005
78,427,698,2005
68,478,670,2005
71,554,762,2005
76,530,868,2005
84,544,850,2005
84,524,800,2005
76,475,812,2005
51,452,734,2005
65,540,642,2005
70,534,712,2005
78,684,1000,2005
44,519,836,2005
72,612,918,2005
62,580,950,2005
96,704,1066,2005
74,542,916,2005
78,582,864,2005
72,506,930,2005
84,479,834,2005
83,458,772,2005
76,506,844,2005
91,506,844,2005
73,548,804,2005
82,472,776,2005
84,506,756,2005
92,426,794,2005
80,520,976,2005
68,488,778,2005
83,432,616,2005
61,344,604,2005
62,486,784,2005
92,624,924,2005
84,600,806,2005
85,576,730,2005
67,444,654,2005
78,616,912,2005
94,634,922,2005
78,514,784,2005
82,616,928,2005
92,578,868,2005
84,499,724,2005
84,560,840,2005
80,536,802,2005
65,506,726,2006
83,458,766,2006
85,462,786,2006
78,580,764,2006
74,394,664,2006
70,406,670,2006
79,472,702,2006
82,488,766,2006
72,502,744,2006
65,378,600,2006
90,508,670,2006
90,476,754,2006
85,450,640,2006
71,544,622,2006
81,520,724,2006
70,456,730,2006
80,646,892,2006
76,606,912,2006
79,381,800,2006
84,447,794,2006
68,464,828,2006
78,512,876,2006
86,530,734,2006
88,606,942,2006
46,450,732,2006
62,506,804,2006
76,586,938,2006
76,630,846,2006
99,620,906,2006
82,542,894,2006
52,520,790,2006
78,622,1010,2006
82,512,628,2006
76,430,630,2006
76,582,904,2006
81,574,902,2006
76,404,780,2006
77,528,820,2006
84,370,740,2006
84,429,790,2006
78,390,740,2006
72,534,908,2006
68,538,820,2006
88,530,866,2006
87,502,790,2006
86,534,806,2006
84,650,848,2006
58,489,784,2006
74,566,826,2006
72,470,812,2006
80,430,778,2006
74,548,772,2006
66,602,870,2006
79,430,780,2006
72,588,834,2006
76,474,696,2006
71,428,784,2006
84,514,956,2006
88,580,784,2006
74,453,846,2006
71,554,812,2006
54,534,858,2006
65,471,806,2006
68,489,882,2006
57,396,716,2006
79,362,864,2006
61,490,786,2006
70,598,972,2006
76,618,946,2006
62,586,912,2006
82,477,808,2006
62,518,816,2006
70,574,790,2006
90,614,944,2006
76,516,794,2006
58,392,800,2006
65,382,812,2006
74,442,782,2006
91,384,778,2006
81,570,886,2006
56,530,834,2006
81,546,926,2006
91,598,914,2006
72,600,940,2006
62,494,738,2006
74,516,828,2006
52,522,812,2006
88,610,900,2006
65,506,704,2006
68,556,850,2006
81,502,750,2006
51,538,746,2006
72,532,796,2006
86,530,796,2006
87,506,856,2006
110,595,786,2006
76,500,760,2006
66,370,816,2006
77,528,838,2006
78,600,790,2006
83,400,710,2006
76,422,702,2006
58,492,790,2006
64,612,960,2006
90,578,878,2006
78,596,910,2006
91,518,888,2006
78,452,806,2006
86,504,880,2006
88,420,738,2006
59,572,840,2006
76,650,884,2006
86,592,990,2006
85,526,808,2006
73,440,836,2006
78,648,1000,2006
68,550,880,2006
78,574,892,2006
58,499,800,2006
48,544,830,2006
82,522,782,2006
76,405,750,2006
81,499,784,2006
64,399,748,2006
66,562,860,2006
60,614,990,2006
59,600,726,2006
78,542,876,2006
80,530,770,2006
70,650,706,2006
68,542,836,2006
72,484,754,2006
88,418,694,2006
72,492,752,2006
79,466,808,2006
74,510,806,2006
78,544,830,2006
74,450,784,2006
64,340,618,2006
94,478,842,2006
92,518,714,2006
88,474,710,2006
68,552,622,2006
52,526,728,2006
72,516,794,2006
83,478,810,2006
79,616,870,2006
60,472,702,2006
82,544,800,2006
72,534,832,2006